Number of days,Seasons,state,Total Population,Number of deaths,deathConfirmed,deathIncrease,deathProbable,Number of Hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,Number of Infected People,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
251,FALL,WA,447802,2037,2037,0,,7248,7248,380,33,,85,,0,,,,,26,84942,83816,535,0,,,,,,0,1723040,18370,1723040,18370,,,,,,0,,0
252,FALL,WA,360500,2037,2037,0,,7262,7262,377,14,,69,,0,,,,,21,85265,84133,323,0,,,,,,0,1736556,13516,1736556,13516,,,,,,0,,0
253,FALL,WA,272969,2070,2070,33,,7314,7314,487,52,,85,,0,,,,,32,85461,84325,196,0,,,,,,0,1740899,4343,1740899,4343,,,,,,0,,0
254,FALL,WA,184769,2070,2070,0,,7314,7314,361,0,,90,,0,,,,,32,86130,84971,669,0,,,,,,0,1740899,0,1740899,0,,,,,,0,,0
255,FALL,WA,95959,2081,2081,11,,7349,7349,384,35,,101,,0,,,,,27,86729,85540,599,0,,,,,,0,1743296,2397,1743296,2397,,,,,,0,,0
256,FALL,WA,6555,2080,2080,-1,,7357,7357,401,8,,87,,0,,,,,27,87324,86108,595,0,,,,,,0,1783279,39983,1783279,39983,,,,,,0,,0
257,FALL,WA,-83457,2100,2100,20,,7412,7412,383,55,,86,,0,,,,,28,87912,86666,588,0,,,,,,0,1801021,17742,1801021,17742,,,,,,0,,0
258,FALL,WA,-173990,2100,2100,0,,7431,7431,395,19,,90,,0,,,,,31,88433,87171,521,0,,,,,,0,1820623,19602,1820623,19602,,,,,,0,,0
259,FALL,WA,-264851,2100,2100,0,,7455,7455,355,24,,71,,0,,,,,25,88761,87487,328,0,,,,,,0,1837206,16583,1837206,16583,,,,,,0,,0
260,FALL,WA,-355912,2100,2100,0,,7477,7477,362,22,,75,,0,,,,,43,88961,87686,200,0,,,,,,0,1848463,11257,1848463,11257,,,,,,0,,0
261,FALL,WA,-447775,2124,2124,24,,7483,7483,384,6,,91,,0,,,,,26,89739,88438,778,0,,,,,,0,1854399,5936,1854399,5936,,,,,,0,,0
262,FALL,WA,-540273,2126,2126,2,,7533,7533,410,50,,90,,0,,,,,32,90372,89047,633,0,,,,,,0,1868089,13690,1868089,13690,,,,,,0,,0
263,FALL,WA,-633395,2132,2132,6,,7573,7573,371,40,,88,,0,,,,,33,90990,89635,618,0,,,,,,0,1884074,15985,1884074,15985,,,,,,0,,0
264,FALL,WA,-727108,2143,2143,11,,7586,7586,361,13,,77,,0,,,,,40,91570,90186,580,0,,,,,,0,1905759,21685,1905759,21685,,,,,,0,,0
265,FALL,WA,-821448,2142,2142,-1,,7611,7611,370,25,,82,,0,,,,,26,92198,90786,628,0,,,,,,0,1922956,17197,1922956,17197,,,,,,0,,0
266,FALL,WA,-916191,2142,2142,0,,7628,7628,367,17,,78,,0,,,,,29,92601,91178,403,0,,,,,,0,1935899,12943,1935899,12943,,,,,,0,,0
267,FALL,WA,-1011202,2158,2158,16,,7622,7622,347,-6,,64,,0,,,,,31,92853,91424,252,0,,,,,,0,1951407,15508,1951407,15508,,,,,,0,,0
268,FALL,WA,-1107126,2165,2165,7,,7673,7673,355,51,,68,,0,,,,,31,93759,92284,906,0,,,,,,0,1961067,9660,1961067,9660,,,,,,0,,0
269,FALL,WA,-1203785,2177,2177,12,,7703,7703,383,30,,73,,0,,,,,30,94482,92976,723,0,,,,,,0,1987477,26410,1987477,26410,,,,,,0,,0
270,FALL,WA,-1301173,2183,2183,6,,7733,7733,357,30,,72,,0,,,,,29,95205,93670,723,0,,,,,,0,2016471,28994,2016471,28994,,,,,,0,,0
271,FALL,WA,-1399294,2190,2190,7,,7762,7762,364,29,,69,,0,,,,,30,95931,94360,726,0,,,,,,0,2037946,21475,2037946,21475,,,,,,0,,0
272,FALL,WA,-1498116,2190,2190,0,,7786,7786,373,24,,70,,0,,,,,27,96632,95027,701,0,,,,,,0,2061438,23492,2061438,23492,,,,,,0,,0
273,FALL,WA,-1597321,2190,2190,0,,7786,7786,352,0,,59,,0,,,,,27,97015,95402,383,0,,,,,,0,2061438,0,2061438,0,,,,,,0,,0
274,FALL,WA,-1696800,2211,2190,21,,7874,7874,376,88,,76,,0,,,,,26,97268,95649,253,0,,,,,,0,2123908,62470,2123908,62470,,,,,,0,,0
275,FALL,WA,-1797146,2211,2211,0,,7874,7874,367,0,,83,,0,,,,,26,98135,96485,867,0,,,,,,0,2123908,0,2123908,0,,,,,,0,,0
276,FALL,WA,-1898270,2221,2221,10,,7883,7883,373,9,,82,,0,,,,,25,98903,97214,768,0,,,,,,0,2146509,22601,2146509,22601,,,,,,0,,0
277,FALL,WA,-2000176,2232,2232,11,,7956,7956,376,73,,77,,0,,,,,18,99674,97960,771,0,,,,,,0,2169192,22683,2169192,22683,,,,,,0,,0
278,FALL,WA,-2102859,2239,2239,7,,7971,7971,396,15,,82,,0,,,,,27,100444,98704,770,0,,,,,,0,2194254,25062,2194254,25062,,,,,,0,,0
279,FALL,WA,-2206206,2239,2239,0,,7994,7994,376,23,,91,,0,,,,,26,101108,99334,664,0,,,,,,0,2214560,20306,2214560,20306,,,,,,0,,0
280,FALL,WA,-2309962,2239,2239,0,,8018,8018,388,24,,72,,0,,,,,26,101517,99734,409,0,,,,,,0,2230785,16225,2230785,16225,,,,,,0,,0
281,FALL,WA,-2414035,2258,2258,19,,8077,8077,392,59,,82,,0,,,,,36,101815,100029,298,0,,,,,,0,2244336,13551,2244336,13551,,,,,,0,,0
282,FALL,WA,-2519045,2282,2282,24,,8124,8124,414,47,,109,,0,,,,,43,102728,100906,913,0,,,,,,0,2252788,8452,2252788,8452,,,,,,0,,0
283,FALL,WA,-2624977,2286,2286,4,,8149,8149,407,25,,92,,0,,,,,43,103646,101792,918,0,,,,,,0,2276453,23665,2276453,23665,,,,,,0,,0
284,FALL,WA,-2731697,2289,2289,3,,8183,8183,437,34,,103,,0,,,,,49,104431,102550,785,0,,,,,,0,2296275,19822,2296275,19822,,,,,,0,,0
285,FALL,WA,-2839273,2296,2296,7,,8231,8231,412,48,,114,,0,,,,,48,105280,103363,849,0,,,,,,0,2318931,22656,2318931,22656,,,,,,0,,0
286,FALL,WA,-2947684,2296,2296,0,,8280,8280,405,49,,101,,0,,,,,43,106115,104151,835,0,,,,,,0,2360387,41456,2360387,41456,,,,,,0,,0
287,FALL,WA,-3056684,2296,2296,0,,8280,8280,389,0,,100,,0,,,,,43,106704,104735,589,0,,,,,,0,2360387,0,2360387,0,,,,,,0,,0
288,FALL,WA,-3166057,2321,2321,25,,8322,8322,422,42,,88,,0,,,,,37,107052,105066,348,0,,,,,,0,2372596,12209,2372596,12209,,,,,,0,,0
289,FALL,WA,-3276579,2337,2337,16,,8358,8358,417,36,,100,,0,,,,,44,108185,106157,1133,0,,,,,,0,2362595,-10001,2362595,-10001,,,,,,0,,0
290,FALL,WA,-3388192,2353,2353,16,,8383,8383,426,25,,112,,0,,,,,40,109260,107192,1075,0,,,,,,0,2383332,20737,2383332,20737,,,,,,0,,0
291,FALL,WA,-3500913,2359,2359,6,,8467,8467,433,84,,112,,0,,,,,46,110362,108251,1102,0,,,,,,0,2405352,22020,2405352,22020,,,,,,0,,0
292,FALL,WA,-3614886,2366,2366,7,,8522,8522,450,55,,114,,0,,,,,52,111607,109457,1245,0,,,,,,0,2426385,21033,2426385,21033,,,,,,0,,0
293,FALL,WA,-3730006,2366,2366,0,,8571,8571,470,49,,112,,0,,,,,47,112754,110553,1147,0,,,,,,0,2450122,23737,2450122,23737,,,,,,0,,0
294,FALL,WA,-3845913,2366,2366,0,,8611,8611,464,40,,103,,0,,,,,47,113541,111316,787,0,,,,,,0,2469146,19024,2469146,19024,,,,,,0,,0
295,FALL,WA,-3962375,2378,2378,12,,8634,8634,471,23,,124,,0,,,,,48,114084,111856,543,0,,,,,,0,2470185,1039,2470185,1039,,,,,,0,,0
296,FALL,WA,-4080565,2400,2400,22,,8675,8675,480,41,,131,,0,,,,,58,115790,113482,1706,0,,,,,,0,2495151,24966,2495151,24966,,,,,,0,,0
297,FALL,WA,-4200366,2416,2416,16,,8735,8735,476,60,,128,,0,,,,,62,117385,114990,1595,0,,,,,,0,2519494,24343,2519494,24343,,,,,,0,,0
298,FALL,WA,-4322054,2431,2431,15,,8784,8784,492,49,,128,,0,,,,,48,119257,116779,1872,0,,,,,,0,2541074,21580,2541074,21580,,,,,,0,,0
299,FALL,WA,-4445874,2439,2439,8,,8791,8791,510,7,,133,,0,,,,,61,121381,118811,2124,0,,,,,,0,2568257,27183,2568257,27183,,,,,,0,,0
300,FALL,WA,-4571625,2439,2439,0,,8795,8795,504,4,,103,,0,,,,,45,123312,120682,1931,0,,,,,,0,2592766,24509,2592766,24509,,,,,,0,,0
301,FALL,WA,-4698783,2439,2439,0,,8803,8803,526,8,,105,,0,,,,,55,124719,122047,1407,0,,,,,,0,2612198,19432,2612198,19432,,,,,,0,,0
302,FALL,WA,-4826739,2460,2460,21,,9031,9031,537,228,,110,,0,,,,,62,125496,122814,777,0,,,,,,0,2627515,15317,2627515,15317,,,,,,0,,0
303,FALL,WA,-4957430,2482,2482,22,,9092,9092,589,61,,107,,0,,,,,58,128209,125396,2713,0,,,,,,0,2644425,16910,2644425,16910,,,,,,0,,0
304,FALL,WA,-5090505,2482,2482,0,,9092,9092,628,0,,115,,0,,,,,58,130593,127648,2384,0,,,,,,0,2644425,0,2644425,0,,,,,,0,,0
305,FALL,WA,-5225768,2507,2507,25,,9178,9178,653,86,,147,,0,,,,,76,132756,129688,2163,0,,,,,,0,2694170,49745,2694170,49745,,,,,,0,,0
306,FALL,WA,-5363953,2519,2519,12,,9266,9266,698,88,,154,,0,,,,,121,135666,132462,2910,0,,,,,,0,2722087,27917,2722087,27917,,,,,,0,,0
307,FALL,WA,-5504748,2519,2519,0,,9281,9281,658,15,,156,,0,,,,,75,138276,134923,2610,0,,,,,,0,2748782,26695,2748782,26695,,,,,,0,,0
308,FALL,WA,-5647424,2519,2519,0,,9425,9425,681,144,,177,,0,,,,,84,140157,136771,1881,0,,,,,,0,2778095,29313,2778095,29313,,,,,,0,,0
309,FALL,WA,-5791298,2548,2548,29,,9518,9518,707,93,,167,,0,,,,,85,141326,137921,1169,0,,,,,,0,2795736,17641,2795736,17641,,,,,,0,,0
310,FALL,WA,-5938649,2571,2571,23,,9573,9573,738,55,,208,,0,,,,,87,144780,141110,3454,0,,,,,,0,2813081,17345,2813081,17345,,,,,,0,,0
311,FALL,WA,-6089237,2592,2592,21,,9622,9622,748,49,,191,,0,,,,,85,147996,144161,3216,0,,,,,,0,2835472,22391,2835472,22391,,,,,,0,,0
312,FALL,WA,-6242906,2603,2603,11,,9653,9653,844,31,,209,,0,,,,,94,151066,147044,3070,0,,,,,,0,2856474,21002,2856474,21002,,,,,,0,,0
313,FALL,WA,-6399673,2619,2619,16,,9717,9717,876,64,,206,,0,,,,,87,154148,149920,3082,0,,,,,,0,2877894,21420,2877894,21420,,,,,,0,,0
314,FALL,WA,-6559633,2619,2619,0,,9765,9765,887,48,,199,,0,,,,,86,157341,152996,3193,0,,,,,,0,2894367,16473,2894367,16473,,,,,,0,,0
315,FALL,WA,-6721483,2619,2619,0,,9765,9765,893,0,,165,,0,,,,,86,159231,154801,1890,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
316,FALL,WA,-6884774,2655,2655,36,,10096,10096,894,331,,187,,0,,,,,82,160636,156154,1405,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
317,FALL,WA,-7051778,2690,2690,35,,10166,10166,932,70,,214,,0,,,,,101,164314,159612,3678,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
318,FALL,WA,-7221953,2704,2704,14,,10242,10242,1007,76,,215,,0,,,,,102,167471,162590,3157,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
319,FALL,WA,-7395064,2704,2704,0,,10242,10242,1002,0,,226,,0,,,,,102,170407,165384,2936,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
320,FALL,WA,-7568704,2703,2703,-1,,10496,10496,990,254,,207,,0,,,,,83,170937,165906,530,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
321,FALL,WA,-7744968,2703,2703,0,,10663,10663,983,167,,236,,0,,,,,94,173561,168419,2624,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
322,FALL,WA,-7923411,2703,2703,0,,10759,10759,989,96,,256,,0,,,,,103,175740,170525,2179,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
323,WINTER,WA,-8103239,2774,2774,71,,10895,10895,1003,136,,260,,0,,,,,113,177054,171778,1314,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
324,WINTER,WA,-8287800,2805,2805,31,,10920,10920,1077,25,,284,,0,,,,,128,181756,176278,4702,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
325,WINTER,WA,-8475807,2850,2850,45,,10954,10954,1083,34,,274,,0,,,,,135,185157,179413,3401,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
326,WINTER,WA,-8667176,2900,2900,50,,11195,11195,1097,241,,278,,0,,,,,137,188469,182557,3312,0,,,,,,0,2894367,0,2894367,0,,,,,,0,,0
327,WINTER,WA,-8861708,2925,2925,25,,11273,11273,1099,78,,274,,0,,,,,132,191607,185493,3138,0,,,,,,0,3120146,225779,3120146,225779,,,,,,0,,0
328,WINTER,WA,-9059320,2925,2925,0,,11475,11475,1099,202,,274,,0,,,,,136,194687,188411,3080,0,,,,,,0,3133845,13699,3133845,13699,,,,,,0,,0
329,WINTER,WA,-9258705,2925,2925,0,,11544,11544,1099,69,,274,,0,,,,,135,196460,190099,1773,0,,,,,,0,3143000,9155,3143000,9155,,,,,,0,,0
330,WINTER,WA,-9459288,2941,2941,16,,11696,11696,1094,152,,281,,0,,,,,135,197642,191241,1182,0,,,,,,0,3164714,21714,3164714,21714,,,,,,0,,0
331,WINTER,WA,-9663547,2967,2967,26,,11841,11841,1114,145,,294,,0,,,,,141,201292,194605,3650,0,,,,,,0,3197050,32336,3197050,32336,,,,,,0,,0
332,WINTER,WA,-9870832,3016,3016,49,,11996,11996,1177,155,,294,,0,,,,,144,204269,197334,2977,0,,,,,,0,3225428,28378,3225428,28378,,,,,,0,,0
333,WINTER,WA,-10080508,2850,2850,-166,,12084,12084,1166,88,,262,,0,,,,,133,206826,199729,2557,0,,,,,,0,3256838,31410,3256838,31410,,,,,,0,,0
334,WINTER,WA,-10292634,2879,2879,29,,12237,12237,1140,153,,248,,0,,,,,133,209247,202000,2421,0,,,,,,0,3285936,29098,3285936,29098,,,,,,0,,0
335,WINTER,WA,-10506988,2879,2879,0,,12368,12368,1140,131,,248,,0,,,,,131,211475,204060,2228,0,,,,,,0,3320070,34134,3320070,34134,,,,,,0,,0
336,WINTER,WA,-10722752,2879,2879,0,,12525,12525,1140,157,,248,,0,,,,,147,212885,205413,1410,0,,,,,,0,3347903,27833,3347903,27833,,,,,,0,,0
337,WINTER,WA,-10939207,2918,2918,39,,12649,12649,1144,124,,250,,0,,,,,128,213537,206025,652,0,,,,,,0,3380344,32441,3380344,32441,,,,,,0,,0
338,WINTER,WA,-11156364,2953,2953,35,,12773,12773,1181,124,,260,,0,,,,,138,214204,206544,667,0,,,,,,0,3411676,31332,3411676,31332,,,,,,0,,0
339,WINTER,WA,-11373671,3042,,89,,13074,13074,1233,301,,279,,0,,,,,141,214265,206594,61,0,,,,,,0,3432892,21216,3432892,21216,,,,,,0,,0
340,WINTER,WA,-11593993,3117,,75,,13235,13235,1231,161,,273,,0,,,,,150,217205,209344,2940,0,,,,,,0,3432892,0,3432892,0,,,,,,0,,0
341,WINTER,WA,-11817365,3104,,-13,,13291,13291,1175,56,,258,,0,,,,,144,220268,212283,3063,0,,,,,,0,3478628,45736,3478628,45736,,,,,,0,,0
342,WINTER,WA,-12043069,3104,,0,,13391,13391,1175,100,,258,,0,,,,,137,222600,214466,2332,0,,,,,,0,3503577,24949,3503577,24949,,,,,,0,,0
343,WINTER,WA,-12268773,3104,,0,,13391,13391,1175,0,,258,,0,,,,,137,222600,214466,0,0,,,,,,0,3503577,0,3503577,0,,,,,,0,,0
344,WINTER,WA,-12498514,3106,,2,,13515,13515,1207,124,,272,,0,,,,,128,226635,218415,4035,0,,,,,,0,3559695,56118,3559695,56118,,,,,,0,,0
345,WINTER,WA,-12729532,3131,,25,,13590,13590,774,75,,195,,0,,,,,97,227887,219584,1252,0,,,,,,0,3590459,30764,3590459,30764,,,,,,0,,0
346,WINTER,WA,-12962896,3162,,31,,13617,13617,1202,27,,263,,0,,,,,105,230202,221695,2315,0,,,,,,0,3620650,30191,3620650,30191,,,,,,0,,0
347,WINTER,WA,-13199173,3184,,22,,13908,13908,1200,291,,243,,0,,,,,108,233093,224399,2891,0,,,,,,0,3649210,28560,3649210,28560,,,,,,0,,0
348,WINTER,WA,-13435450,3184,,0,,13908,13908,1200,0,,243,,0,,,,,108,233093,224399,0,0,,,,,,0,3649210,0,3649210,0,,,,,,0,,0
349,WINTER,WA,-13675353,3184,,0,,14096,14096,1200,188,,243,,0,,,,,90,236719,227795,3626,0,,,,,,0,3710779,61569,3710779,61569,,,,,,0,,0
350,WINTER,WA,-13915256,3184,,0,,14096,14096,1200,0,,243,,0,,,,,90,236719,227795,0,0,,,,,,0,3710779,0,3710779,0,,,,,,0,,0
351,WINTER,WA,-14157123,3195,,11,,14276,14276,1280,180,,265,,0,,,,,105,238672,229672,1953,0,,,,,,0,3768662,57883,3768662,57883,,,,,,0,,0
352,WINTER,WA,-14401338,3369,,174,,14445,14445,1201,169,,245,,0,,,,,108,240846,231724,2174,0,,,,,,0,3798321,29659,3798321,29659,,,,,,0,,0
353,WINTER,WA,-14647088,3420,,51,,14571,14571,1088,126,,235,,0,,,,,118,242330,232993,1484,0,,,,,,0,3805390,7069,3805390,7069,,,,,,0,,0
354,WINTER,WA,-14897301,3461,,41,,14748,14748,1138,177,,248,,0,,,,,118,246752,237165,4422,0,,,,,,0,3836820,31430,3836820,31430,,,,,,0,,0
355,WINTER,WA,-15147514,3461,,0,,14748,14748,1138,0,,248,,0,,,,,118,246752,237165,0,0,,,,,,0,3836820,0,3836820,0,,,,,,0,,0
356,WINTER,WA,-15397727,3461,,0,,14748,14748,1138,0,,248,,0,,,,,118,246752,237165,0,0,,,,,,0,3836820,0,3836820,0,,,,,,0,,0
357,WINTER,WA,-15656582,3459,,-2,,15111,15111,1138,363,,248,,0,,,,,116,255396,245381,8644,0,,,,,,0,3909972,73152,3909972,73152,,,,,,0,,0
358,WINTER,WA,-15916499,3482,,23,,15160,15160,1117,49,,249,,0,,,,,109,256435,246376,1039,0,,,,,,0,3935760,25788,3935760,25788,,,,,,0,,0
359,WINTER,WA,-16178807,3541,,59,,15327,15327,1167,167,,262,,0,,,,,121,258767,248580,2332,0,,,,,,0,3949632,13872,3949632,13872,,,,,,0,,0
360,WINTER,WA,-16443164,3605,,64,,15415,15415,1159,88,,266,,0,,,,,109,260752,250306,1985,0,,,,,,0,3969589,19957,3969589,19957,,,,,,0,,0
361,WINTER,WA,-16710810,3634,,29,,15568,15568,1197,153,,242,,0,,,,,104,264012,253401,3260,0,,,,,,0,3987138,17549,3987138,17549,,,,,,0,,0
362,WINTER,WA,-16983116,3699,,65,,15557,15557,1177,-11,,245,,0,,,,,118,268607,257447,4595,0,,,,,,0,4009784,22646,4009784,22646,,,,,,0,,0
363,WINTER,WA,-17258409,3698,,-1,,15771,15771,1177,214,,245,,0,,,,,86,271595,260360,2988,0,,,,,,0,4034774,24990,4034774,24990,,,,,,0,,0
364,WINTER,WA,-17533702,3698,,0,,15771,15771,1177,0,,245,,0,,,,,86,271595,260360,0,0,,,,,,0,4034774,0,4034774,0,,,,,,0,,0
365,WINTER,WA,-17814087,3699,,1,,15978,15978,1074,207,,234,,0,,,,,116,276686,265312,5091,0,,,,,,0,4087531,52757,4087531,52757,,,,,,0,,0
366,WINTER,WA,-18096420,3789,,90,,16068,16068,1076,90,,216,,0,,,,,111,278544,266701,1858,0,,,,,,0,4110647,23116,4110647,23116,,,,,,0,,0
367,WINTER,WA,-18381460,3838,,49,,16080,16080,1083,12,,215,,0,,,,,93,281202,269201,2658,0,,,,,,0,4128417,17770,4128417,17770,,,,,,0,,0
368,WINTER,WA,-18669113,3876,,38,,16080,16080,1105,0,,202,,0,,,,,93,283777,271643,2575,0,,,,,,0,4153214,24797,4153214,24797,,,,,,0,,0
369,WINTER,WA,-18958986,3903,,27,,16370,16370,1066,290,,238,,0,,,,,105,285970,273703,2193,0,,,,,,0,4179833,26619,4179833,26619,,,,,,0,,0
370,WINTER,WA,-19248859,3903,,0,,16370,16370,1066,0,,238,,0,,,,,105,285970,273703,0,0,,,,,,0,4179833,0,4179833,0,,,,,,0,,0
371,WINTER,WA,-19542701,3903,,0,,16558,16558,1066,188,,238,,0,,,,,158,289939,277404,3969,0,,,,,,0,4233758,53925,4233758,53925,,,,,,0,,0
372,WINTER,WA,-19836543,3903,,0,,16558,16558,1066,0,,238,,0,,,,,158,289939,277404,0,0,,,,,,0,4233758,0,4233758,0,,,,,,0,,0
373,WINTER,WA,-20132472,3940,,37,,16642,16642,1012,84,,243,,0,,,,,104,291989,279421,2050,0,,,,,,0,4265548,31790,4265548,31790,,,,,,0,,0
374,WINTER,WA,-20430429,3940,,0,,16848,16848,977,206,,221,,0,,,,,99,294017,281258,2028,0,,,,,,0,4297306,31758,4297306,31758,,,,,,0,,0
375,WINTER,WA,-20730581,4065,,125,,16939,16939,1012,91,,243,,0,,,,,80,296087,283188,2070,0,,,,,,0,4325798,28492,4325798,28492,,,,,,0,,0
376,WINTER,WA,-21032944,4114,,49,,17037,17037,916,98,,242,,0,,,,,83,298249,285187,2162,0,,,,,,0,4349779,23981,4349779,23981,,,,,,0,,0
377,WINTER,WA,-21337256,4114,,0,,17129,17129,916,92,,242,,0,,,,,100,300198,287031,1949,0,,,,,,0,4373646,23867,4373646,23867,,,,,,0,,0
378,WINTER,WA,-21641568,4114,,0,,17129,17129,916,0,,242,,0,,,,,100,300198,287031,0,0,,,,,,0,4373646,0,4373646,0,,,,,,0,,0
379,WINTER,WA,-21947857,4148,,34,,17259,17259,846,130,,173,,0,,,,,82,302141,288948,1943,0,,,,,,0,4424230,50584,4424230,50584,,,,,,0,,0
380,WINTER,WA,-22255506,4167,,19,,17354,17354,869,95,,184,,0,,,,,100,303482,290168,1341,0,,,,,,0,4446844,22614,4446844,22614,,,,,,0,,0
381,WINTER,WA,-22565006,4211,,44,,17449,17449,823,95,,197,,0,,,,,99,305289,291701,1807,0,,,,,,0,4470215,23371,4470215,23371,,,,,,0,,0
382,WINTER,WA,-22877058,4243,,32,,17517,17517,806,68,,195,,0,,,,,102,307809,293978,2520,0,,,,,,0,4495463,25248,4495463,25248,,,,,,0,,0
383,WINTER,WA,-23191144,4285,,42,,17543,17543,797,26,,193,,0,,,,,102,309801,295861,1992,0,,,,,,0,4524221,28758,4524221,28758,,,,,,0,,0
384,WINTER,WA,-23507026,4285,,0,,17706,17706,797,163,,193,,0,,,,,88,311597,297513,1796,0,,,,,,0,4548239,24018,4548239,24018,,,,,,0,,0
385,WINTER,WA,-23822908,4285,,0,,17706,17706,797,0,,193,,0,,,,,88,311597,297513,0,0,,,,,,0,4548239,0,4548239,0,,,,,,0,,0
386,WINTER,WA,-24140561,4318,,33,,17812,17812,814,106,,203,,0,,,,,90,313335,299098,1738,0,,,,,,0,4597590,49351,4597590,49351,,,,,,0,,0
387,WINTER,WA,-24459569,4316,,-2,,17892,17892,838,80,,194,,0,,,,,89,314692,300018,1357,0,,,,,,0,4614786,17196,4614786,17196,,,,,,0,,0
388,WINTER,WA,-24780251,4388,,72,,17987,17987,789,95,,183,,0,,,,,83,316294,301372,1602,0,,,,,,0,4645828,31042,4645828,31042,,,,,,0,,0
389,WINTER,WA,-25102545,4416,,28,,18071,18071,789,84,,183,,0,,,,,80,317878,302782,1584,0,,,,,,0,4670815,24987,4670815,24987,,,,,,0,,0
390,WINTER,WA,-25426365,4449,,33,,18156,18156,737,85,,186,,0,,,,,73,319371,303961,1493,0,,,,,,0,4694650,23835,4694650,23835,,,,,,0,,0
391,WINTER,WA,-25750960,4449,,0,,18283,18283,737,127,,186,,0,,,,,73,320146,304382,775,0,,,,,,0,4716859,22209,4716859,22209,,,,,,0,,0
392,WINTER,WA,-26075555,4449,,0,,18283,18283,737,0,,186,,0,,,4412414,,73,320146,304382,0,0,,,,,304315,0,4716859,0,4716859,0,,,,,,0,,0
393,WINTER,WA,-26403220,4451,,2,,18480,18480,719,197,,188,,0,,,4464543,,78,323214,307189,3068,0,,,,,307163,0,4771837,54978,4771837,54978,,,,,,0,,0
394,WINTER,WA,-26731803,4558,,107,,18530,18530,704,50,,160,,0,,,4485964,,62,324025,307867,811,0,,,,,307829,0,4793925,22088,4793925,22088,,,,,,0,,0
395,WINTER,WA,-27061112,4603,,45,,18516,18516,687,-14,,151,,0,,,4506197,,61,324706,308392,681,0,,,,,308338,0,4814665,20740,4814665,20740,,,,,,0,,0
396,WINTER,WA,-27391904,4633,,30,,18531,18531,678,15,,151,,0,,,4530317,,79,326159,309673,1453,0,,,,,309629,0,4840076,25411,4840076,25411,,,,,,0,,0
397,WINTER,WA,-27723746,4675,,42,,18604,18604,628,73,,151,,0,,,4556332,,48,327167,310541,1008,0,,,,,310521,0,4866993,26917,4866993,26917,,,,,,0,,0
398,WINTER,WA,-28056468,4675,,0,,18643,18643,628,39,,151,,0,,,4584757,,52,328047,311288,880,0,,,,,311237,0,4896154,29161,4896154,29161,,,,,,0,,0
399,WINTER,WA,-28389190,4675,,0,,18643,18643,628,0,,151,,0,,,4584757,,62,328047,311288,0,0,,,,,311237,0,4896154,0,4896154,0,,,,,,0,,0
400,WINTER,WA,-28721912,4675,,0,,18643,18643,628,0,,151,,0,,,4584757,,57,328047,311288,0,0,,,,,311237,0,4896154,0,4896154,0,,,,,,0,,0
401,WINTER,WA,-29056367,4709,,34,,18764,18764,628,121,,151,,0,,,4654384,,55,329746,312828,1699,0,,,,,312773,0,4967466,71312,4967466,71312,,,,,,0,,0
402,WINTER,WA,-29391933,4759,,50,,18861,18861,628,97,,151,,0,,,4683820,,60,330807,313633,1061,0,,,,,313595,0,4997740,30274,4997740,30274,,,,,,0,,0
403,WINTER,WA,-29728743,4803,,44,,18934,18934,600,73,,129,,0,,,4710363,,64,332007,314655,1200,0,,,,,314601,0,5025294,27554,5025294,27554,,,,,,0,,0
404,WINTER,WA,-30066469,4822,,19,,18969,18969,608,35,,123,,0,,,4732340,,59,332904,315419,897,0,,,,,315364,0,5048054,22760,5048054,22760,,,,,,0,,0
405,WINTER,WA,-30405085,4822,,0,,19033,19033,608,64,,123,,0,,,4757606,,54,333794,316186,890,0,,,,,316119,0,5074078,26024,5074078,26024,,,,,,0,,0
406,WINTER,WA,-30743701,4822,,0,,19033,19033,608,0,,123,,0,,,4757606,,54,333794,316186,0,0,,,,,316119,0,5074078,0,5074078,0,,,,,,0,,0
